S/N,Category,Question type,Difficulty level,Question
94,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average CAISO weekday and weekend day-ahead energy prices in summer of 2023 across all the 3 major trading hubs based on data from your GridStatus API ?
95,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in SPP had the highest average price during summer of 2023 based on data from your GridStatus API ?
96,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average SPP KCPL Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 based on data from your GridStatus API ?
107,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service across all regions in CAISO had the highest average price during summer of 2022 ?
108,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average CAISO weekday and weekend day-ahead prices in summer of 2023 across all the 3 major pricing hubs ?
109,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in SPP had the highest average price during summer of 2023 ?
110,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average SPP KCPL Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 ?
136,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which of the three main CAISO price hubs had the highest real-time average price in January 2024 based on data from your GridStatus API access ?
137,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for CAISO SP15 zone in 2023 based on data from your GridStatus API access
140,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which of the main SPP trading hubs had the highest day-ahead average price in January 2024 based on data from your GridStatus API access ?
141,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for SPP KCPL hub in 2023 based on data from your GridStatus API access
251,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Assuming I had a 100 MW wind farm in West Texas (at coordinates 32.2644, -100.3442) that can be paired with a battery, what 4-hour storage capacity would I need to maintain an output of at least 30 MW from the wind farm year-round? Assume the battery has an 81% round-trip efficiency, its state of charge can only range between 10% and 90%, and it has a degradation cost of $36/MWh. Use 2019 data from Renewables.ninja for the wind output profile, assuming a 100 m hub height and a Vestas V90-2000 turbine."
252,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"I want to provide a 20-year 100% clean baseload PPA with a fixed 30 MW capacity to a client using a wind + 4-hour storage facility in the West Texas region (assume coordinates 32.2644, -100.3442). What is the lowest flat PPA price, with no escalations, in $/MWh that will guarantee a 5% unlevered pre-tax IRR? Assume any production in excess of the 30 MW gets sold at a $40/MWh flat rate. The wind and storage assets both have 20-year lifespans. For wind, assume capex is $2,300/kW, fixed O&M is $40/kW-year, 100 m hub height, and a Vestas V90-2000 turbine. Get a representative wind profile from Renewables.ninja using 2019 data. For the battery, assume capex has two dimensions: capacity and energy, with each equal to $67/kW and $348/kWh, respectively. Battery degradation cost, which applies to both charging and discharging, is $36/MWh, and a 30% ITC applies only to the battery capex. The battery operating regime is between 10% and 90% SOC, and round-trip efficiency is 81%. 100% clean baseload means the battery charges only from wind."
253,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Compare LCOEs for solar assets across ERCOT (North: 33.1670, -97.4810; South: 29.80698, -97.07408; West: 31.9974, -102.0779; Houston: 29.3113, -96.1020; Panhandle: 35.2219, -101.8313). Assume each solar asset has a 20-year lifespan, capex of $1,600/kW, fixed O&M of $14/kW-year, a dual-axis tracking configuration, 10% losses, and a discount rate of 8%. You can use solar profiles from Renewables.ninja based on 2019 data to estimate annual generation from the solar plants."
254,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"A delivery company had one of its electric delivery vans plugged into a charging station at 12 midnight on June 25, 2025, and it was at 20% battery charge when it was plugged in. What is the total cost of the cheapest charging pattern in 15-minute steps that would ensure the battery is at least 70% charged by 7 AM? Assume the battery has an operating range of 10% to 90%, 81% round-trip efficiency, and no self-discharge. The charging station is exposed to real-time prices at the ERCOT Houston Load Zone. Also assume the maximum charging rate is 20 kW and the battery size of the van is 173 kWh."
255,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,Which months exhibit the most negative monthly generation-weighted day-ahead basis for the solar assets at the 7RNCHSLR_ALL resource node relative to the ERCOT South Hub for each year from 2024 to 2025? Use actual outputs from the solar assets at this node.
256,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"Compare the pre-tax unlevered IRRs of a 200 MW merchant solar project located at 29.80698, -97.07408 under: (1) an unhedged merchant strategy, and
(2) a 100 MW hourly flat fixed-volume hedge settled day-ahead against ERCOT South Hub at a fixed strike price of $50/MWh with a 20-year tenor. Assume: 20-year project life,
CAPEX of $1,600/kW,
fixed OPEX of $14/kW-yr,
no leverage or taxes,
no degradation or curtailment,
representative solar production from Renewables Ninja using 2019 data and double-axis tracking with 10% losses,
physical settlement at day-ahead prices for node 7RNCHSLR_ALL,
and replay ERCOT day-ahead prices using historical years 2024, and 2025 repeated sequentially over the 20-year project life. Ignore leap year days in 2024. Report IRRs to nearest whole number"
257,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"Compare the pre-tax unlevered IRRs of a 200 MW merchant solar project located at 29.80698, -97.07408 under: (1) an unhedged merchant strategy, and
(2) a 100% as-produced hedge settled day-ahead against ERCOT South Hub at a fixed strike price of $45/MWh with a 20-year tenor. Assume: 20-year project life,
CAPEX of $1,600/kW,
fixed OPEX of $14/kW-yr,
no leverage or taxes,
no degradation or curtailment,
representative solar production from Renewables Ninja using double-axis tracking with 10% losses,
physical settlement at day-ahead prices for node 7RNCHSLR_ALL,
and replay ERCOT day-ahead prices using historical years 2024, and 2025 repeated sequentially over the 20-year project life. Ignore leap year days in 2024. Report IRRs to nearest whole numbers"
258,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Pull data from the ERCOT storage day-ahead awards table. Using this data, how would you estimate the total day-ahead revenue for a battery project in ERCOT? Show an example calculation with revenue for WFTANK_ESS1 project in 2024 and show the final total day-ahead revenue for the year"
259,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Assume there is a 200 MW transmission-connected data center in Houston, TX that is exposed to day-ahead ERCOT Houston Hub market prices, what would be its total annual electricity cost considering energy and transmission-related charges only in 2025? Find the applicable transmission rate in ERCOT for 2025 and 4CP rules apply. The representative hourly profiles for the data center for each season are as follows and this applies to any year:
Winter: [0.62, 0.60, 0.58, 0.57, 0.58, 0.62, 0.68, 0.74, 0.81, 0.88, 0.94, 0.98, 1.00, 1.00, 0.99, 0.97, 0.95, 0.93, 0.90, 0.86, 0.81, 0.75, 0.70, 0.66],
Spring: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64],
Summer: [0.55, 0.53, 0.51, 0.50, 0.51, 0.55, 0.61, 0.69, 0.78, 0.88, 0.96, 1.00, 1.00, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.91, 0.86, 0.80, 0.73, 0.61],
Fall: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64]"
260,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Assume there is a 200 MW transmission-connected data center in Houston, TX that is exposed to day-ahead ERCOT Houston Hub market prices. What would be its total annual electricity cost, considering energy and transmission-related charges only in 2025, if the data center has load flexibility capabilities of up to 15% of its peak demand starting in 2025? Assume that the flexibility is load shifting and cannot be shifted past the same day. Find the applicable transmission rate in ERCOT for 2025, and assume 4CP rules apply. The representative hourly profiles for the data center for each season are as follows and apply to any year: Winter: [0.62, 0.60, 0.58, 0.57, 0.58, 0.62, 0.68, 0.74, 0.81, 0.88, 0.94, 0.98, 1.00, 1.00, 0.99, 0.97, 0.95, 0.93, 0.90, 0.86, 0.81, 0.75, 0.70, 0.66] Spring: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64] Summer: [0.55, 0.53, 0.51, 0.50, 0.51, 0.55, 0.61, 0.69, 0.78, 0.88, 0.96, 1.00, 1.00, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.91, 0.86, 0.80, 0.73, 0.61] Fall: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64]"
261,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Assuming I had a 100 MW wind farm in the PJM AEP zone, at coordinates 40.38, -83.74, that can be paired with a battery, what 4-hour storage capacity would I need to maintain an output of at least 30 MW from the wind farm year-round? Assume the battery has 81% round-trip efficiency, its state of charge can only range between 10% and 90%, and it has a degradation cost of $36/MWh. Use 2019 data from Renewables.ninja for the wind output profile, assuming a 100 m hub height and a Vestas V90-2000 turbine."
262,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"I want to provide a 20-year 100% clean baseload PPA with a fixed 30 MW capacity to a client using a wind + 4-hour storage facility in the PJM AEP zone, assuming coordinates 40.38, -83.74. What is the lowest flat PPA price, with no escalations, in $/MWh, that will guarantee a 5% unlevered pre-tax IRR? Assume any production in excess of 30 MW gets sold at a $40/MWh flat rate. The wind and storage assets both have 20-year lifespans. For wind, assume capex is $2,300/kW, fixed O&M is $40/kW-year, a 100 m hub height, and a Vestas V90-2000 turbine. Get a representative wind profile from Renewables.ninja using 2019 data. For the battery, assume capex has two dimensions: capacity and energy, with each equal to $67/kW and $348/kWh, respectively. Battery degradation cost, which applies to both charging and discharging, is $36/MWh, and a 30% ITC applies only to the battery capex. The battery operating regime is between 10% and 90% SOC, and round-trip efficiency is 81%. 100% clean baseload means the battery charges only from wind."
263,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Compare LCOEs for a solar assets spread across in PJM (AEP: 40.38, -83.74, APS: 38.99, -79.19, ATSI: 41.12, -84.58, BGE: 39.58, -77, COMED: 40.48, -88.99). Assume a solar asset has a 20-year lifespan, capex is $1,600 per kW, fixed O&M is $14/kW-year, a double axis tracking configuration, 10% losses and a discount rate of 8%. You can get the solar profiles to estimate annual generation from the solar plants from Renewables.ninja based on 2019 data."
264,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"A delivery company had one of their electric delivery vans plugged at a charging station at 12 midnight on December 26, 2025 and it was at 20% battery charge when it was plugged in. What is the total cost of the cheapest charging pattern in 15-minute steps that would have ensured that the battery is at least 70% charged by 7 AM? Assume the battery has an operating range of 10% - 90%, 81% round trip efficiency and no self-discharge. The charging station is exposed to real-time prices at PJM AEP zone. Also the maximum charging rate is 20 kW and the battery size of the van is 173 kWh"
265,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"Which months exhibit the most negative monthly generation-weighted day-ahead basis for a solar asset at FOWLER resource node relative to PJM AEP GEN hub for each year from 2024–2025? Assume solar outputs based on a 1MW double tracking solar plant with 10% loss at coordinates 40.54, -87.38. Get the output data directly from Renewables.ninja and assume 2019 data as the representative solar year"
266,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"Compare the pre-tax unlevered IRRs of a 200 MW merchant solar project located at 40.54, -87.38 under: (1) an unhedged merchant strategy, and
(2) a 100 MW hourly flat fixed-volume hedge settled day-ahead against PJM AEP GEN Hub at a fixed strike price of $50/MWh with a 20-year tenor. Assume: 20-year project life,
CAPEX of $1,600/kW,
fixed OPEX of $14/kW-yr,
no leverage or taxes,
no degradation or curtailment,
representative solar production from Renewables Ninja using 2019 data and double-axis tracking with 10% losses,
physical settlement at day-ahead prices for node FOWLER,
and replay PJM day-ahead prices using historical years 2024, and 2025 repeated sequentially over the 20-year project life. Ignore leap year days in 2024,
additional capacity revenues at $40/kW-yr with an ELCC of 10%. Report IRRs to nearest whole numbers"
267,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"Compare the pre-tax unlevered IRRs of a 200 MW merchant solar project located at 40.54, -87.38 under: (1) an unhedged merchant strategy, and
(2) a 100% as-produced hedge settled day-ahead against PJM AEP GEN Hub at a fixed strike price of $45/MWh with a 20-year tenor. Assume: 20-year project life,
CAPEX of $1,600/kW,
fixed OPEX of $14/kW-yr,
no leverage or taxes,
no degradation or curtailment,
representative solar production from Renewables Ninja using double-axis tracking with 10% losses,
physical settlement at day-ahead prices for node FOWLER,
and replay PJM day-ahead prices using historical years 2024, and 2025 repeated sequentially over the 20-year project life. Ignore leap year days in 2024,
additional capacity revenues at $40/kW-yr with an ELCC of 10%. Report IRRs to nearest whole numbers"
268,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Assume there is a 200 MW transmission-connected data center in AEP zone that is exposed to day-ahead PJM AEP GEN HUB market prices, what would be its total annual electricity cost considering energy, capacity and transmission-related charges only in 2025? Assume transmission rate is $130/kW-year, capacity charge is $11/kW-year and 5CP rules apply for capacity charges. For transmission charges, AEP zone considers demand coincident with the single zonal peak. The representative hourly profiles for the data center for each season are as follows and this applies to any year:
Winter: [0.62, 0.60, 0.58, 0.57, 0.58, 0.62, 0.68, 0.74, 0.81, 0.88, 0.94, 0.98, 1.00, 1.00, 0.99, 0.97, 0.95, 0.93, 0.90, 0.86, 0.81, 0.75, 0.70, 0.66],
Spring: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64],
Summer: [0.55, 0.53, 0.51, 0.50, 0.51, 0.55, 0.61, 0.69, 0.78, 0.88, 0.96, 1.00, 1.00, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.91, 0.86, 0.80, 0.73, 0.61],
Fall: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64]"
269,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Assume there is a 200 MW transmission-connected data center in AEP zone that is exposed to day-ahead PJM AEP GEN HUB market prices, what would be its total annual electricity cost considering energy, capacity and transmission-related charges only in 2025 if the data center has load flexibility capabilities up to 15% of it's peak demand starting in 2025? Assume that the flexibility is load shifting and cannot be shifted past the same day.Assume transmission rate is $130/kW-year, capacity charge is $11/kW-year and 5CP rules apply for capacity charges. For transmission charges, AEP zone considers demand coincident with the single zonal peak. The representative hourly profiles for the data center for each season are as follows and this applies to any year:
Winter: [0.62, 0.60, 0.58, 0.57, 0.58, 0.62, 0.68, 0.74, 0.81, 0.88, 0.94, 0.98, 1.00, 1.00, 0.99, 0.97, 0.95, 0.93, 0.90, 0.86, 0.81, 0.75, 0.70, 0.66],
Spring: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64],
Summer: [0.55, 0.53, 0.51, 0.50, 0.51, 0.55, 0.61, 0.69, 0.78, 0.88, 0.96, 1.00, 1.00, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.91, 0.86, 0.80, 0.73, 0.61],
Fall: [0.58, 0.56, 0.54, 0.53, 0.54, 0.58, 0.64, 0.71, 0.79, 0.87, 0.94, 0.99, 1.00, 1.00, 1.00, 0.99, 0.97, 0.95, 0.92, 0.88, 0.83, 0.77, 0.71, 0.64]"
270,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Compute pre-tax unlevered project IRR for a potential 100 MW 4-hour standalone battery project in PJM AEP Hub with a 15-year lifespan. Assume day-ahead revenues based on 2023 prices, roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, capex is $2200/kW with a 30% ITC applied. Also assume a capacity revenue rate of $120/kW-year with an ELCC of 59%. Report IRRs to nearest whole numbers"
271,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Assuming I had a 100 MW wind farm in the NYISO zone A, at coordinates 42.27, -79.07, that can be paired with a battery, what 4-hour storage capacity would I need to maintain an output of at least 30 MW from the wind farm year-round? Assume the battery has 81% round-trip efficiency, its state of charge can only range between 10% and 90%, and it has a degradation cost of $36/MWh. Use 2019 data from Renewables.ninja for the wind output profile, assuming a 100 m hub height and a Vestas V90-2000 turbine."
272,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"I want to provide a 20-year 100% clean baseload PPA with a fixed 30 MW capacity to a client using a wind + 4-hour storage facility in the NYISO zone A, assuming coordinates 42.27, -79.07. What is the lowest flat PPA price, with no escalations, in $/MWh, that will guarantee a 5% unlevered pre-tax IRR? Assume any production in excess of 30 MW gets sold at a $60/MWh flat rate. The wind and storage assets both have 20-year lifespans. For wind, assume capex is $2,300/kW, fixed O&M is $40/kW-year, a 100 m hub height, and a Vestas V90-2000 turbine. Get a representative wind profile from Renewables.ninja using 2019 data. For the battery, assume capex has two dimensions: capacity and energy, with each equal to $67/kW and $348/kWh, respectively. Battery degradation cost, which applies to both charging and discharging, is $36/MWh, and a 30% ITC applies only to the battery capex. The battery operating regime is between 10% and 90% SOC, and round-trip efficiency is 81%. 100% clean baseload means the battery charges only from wind."
273,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Compare LCOEs for a solar assets spread across in NYISO (A: 43.045, -78.112, B: 43.1491, -78.1883, C: 42.983, -76.657, J: 40.6189, -74.1875, K: 40.8611, -72.8478). Assume a solar asset has a 20-year lifespan, capex is $1,600 per kW, fixed O&M is $14/kW-year, a double axis tracking configuration, 10% losses and a discount rate of 8%. You can get the solar profiles to estimate annual generation from the solar plants from Renewables.ninja based on 2019 data."
274,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"A delivery company had one of their electric delivery vans plugged at a charging station at 12 midnight on December 26, 2025 and it was at 20% battery charge when it was plugged in. What is the total cost of the cheapest hourly charging pattern that would have ensured that the battery is at least 70% charged by 7 AM? Assume the battery has an operating range of 10% - 90%, 81% round trip efficiency and no self-discharge. The charging station is exposed to day-ahead prices at NYISO zone J. Also the maximum charging rate is 20 kW and the battery size of the van is 173 kWh"
275,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Compute pre-tax unlevered project IRR for a potential 100 MW 4-hour standalone battery project in NYISO zone J with a 15-year lifespan. Assume day-ahead revenues based on 2023 prices, roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, capex is $2200/kW with a 30% ITC applied.  Also assume a capacity revenue rate of $140/kW-year with an ELCC of 100%. Report IRRs to nearest whole numbers"
276,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Assuming I had a 100 MW wind farm in the ISONE Connecticut zone, at coordinates 41.96107, -73.14078, that can be paired with a battery, what 4-hour storage capacity would I need to maintain an output of at least 30 MW from the wind farm year-round? Assume the battery has 81% round-trip efficiency, its state of charge can only range between 10% and 90%, and it has a degradation cost of $36/MWh. Use 2019 data from Renewables.ninja for the wind output profile, assuming a 100 m hub height and a Vestas V90-2000 turbine."
277,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"I want to provide a 20-year 100% clean baseload PPA with a fixed 30 MW capacity to a client using a wind + 4-hour storage facility in the ISONE Connecticut zone, assuming coordinates 41.96107, -73.14078. What is the lowest flat PPA price, with no escalations, in $/MWh, that will guarantee a 5% unlevered pre-tax IRR? Assume any production in excess of 30 MW gets sold at a $60/MWh flat rate. The wind and storage assets both have 20-year lifespans. For wind, assume capex is $2,300/kW, fixed O&M is $40/kW-year, a 100 m hub height, and a Vestas V90-2000 turbine. Get a representative wind profile from Renewables.ninja using 2019 data. For the battery, assume capex has two dimensions: capacity and energy, with each equal to $67/kW and $348/kWh, respectively. Battery degradation cost, which applies to both charging and discharging, is $36/MWh, and a 30% ITC applies only to the battery capex. The battery operating regime is between 10% and 90% SOC, and round-trip efficiency is 81%. 100% clean baseload means the battery charges only from wind."
278,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Compare LCOEs for a solar assets spread across in ISONE (Connecticut: 41.8846, -72.5478, Maine: 44.6126, -69.4518, Vermont: 43.4243 , -72.6650, Rhode Island: 41.9631, -71.5169, New Hampshire: 42.7748, -72.1514). Assume a solar asset has a 20-year lifespan, capex is $1,600 per kW, fixed O&M is $14/kW-year, a double axis tracking configuration, 10% losses and a discount rate of 8%. You can get the solar profiles to estimate annual generation from the solar plants from Renewables.ninja based on 2019 data."
279,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"A delivery company had one of their electric delivery vans plugged at a charging station at 12 midnight on December 26, 2025 and it was at 20% battery charge when it was plugged in. What is the total cost of the cheapest hourly charging pattern that would have ensured that the battery is at least 70% charged by 7 AM? Assume the battery has an operating range of 10% - 90%, 81% round trip efficiency and no self-discharge. The charging station is exposed to day-ahead prices at ISONE Connecticut zone. Also the maximum charging rate is 20 kW and the battery size of the van is 173 kWh"
280,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Compute pre-tax unlevered project IRR for a potential 100 MW 4-hour standalone battery project in ISONE Connecticut load zone with a 15-year lifespan. Assume day-ahead revenues based on 2025 prices, roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, capex is $2200/kW with a 30% ITC applied. Also assume a capacity revenue rate of $140/kW-year with an ELCC of 80%. Report IRRs to nearest whole numbers"
281,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Medium,"Based on the transmission rates in ERCOT for 2015 and 2025, what should we expect the rates to look like for 2026 to 2031? Do this with calculations only leveraging 2015 and 2025 data and provide the forecasts rates in $/kW-year. Make no other assumptions"
